user_id,product_id,eval_set,order_id
205,137812,train,1653
207,788,train,1668
208,1243,train,1674
210,1252,train,1687
211,1256,train,1693
212,1268,train,1701
212,1265,train,1703
212,1277,train,1705
213,1290,train,1732
214,116120,train,1745
216,1312,train,1755
216,1319,train,1757
217,1321,train,1772
218,137817,train,1781
220,9365,train,1791
222,98407,train,1803
224,1397,train,1814
224,1361,train,1816
224,1353,train,1818
224,1388,train,1820
224,1372,train,1822
224,1380,train,1824
225,1400,train,1867
227,1414,train,1881
228,1416,train,1889
230,1421,train,1899
232,1433,train,1909
233,1437,train,1920
235,152556,train,1930
237,1462,train,1940
237,1459,train,1942
238,1470,train,1959
239,114864,train,1970
241,1480,train,1983
242,14060,train,1991
244,1494,train,2003
245,1501,train,2012
247,1032,train,2023
249,14864,train,2033
250,152560,train,2040
251,1527,train,2052
252,1530,train,2059
253,1543,train,2070
254,1545,train,2078
255,1551,train,2085
257,1560,train,2098
258,1569,train,2108
259,88258,train,2115
261,1583,train,2127
262,1584,train,2135
263,137830,train,2141
264,1599,train,2154
265,1610,train,2161
267,1616,train,2175
268,1618,train,2182
269,1636,train,2191
269,93728,train,2193
270,1648,train,2213
271,1656,train,2221
272,1658,train,2230
274,1670,train,2241
275,45060,train,2252
276,1675,train,2258
277,1688,train,2271
278,1689,train,2278
278,1701,train,2280
279,137833,train,2299
280,36749,train,2306
281,1724,train,2317
283,272,train,2328
284,1736,train,2334
285,1737,train,2343
287,1747,train,2356
288,137836,train,2364
289,1766,train,2375
291,1775,train,2389
293,1779,train,2400
295,1786,train,2411
297,1792,train,2422
298,137840,train,2432
299,1806,train,2439
300,1010,train,2450
302,62464,train,2463
302,289,train,2465
303,1830,train,2476
305,1845,train,2491
307,1855,train,2504
308,94000,train,2513
309,1862,train,2519
311,1872,train,2531
313,140423,train,2542
313,1876,train,2544
315,1892,train,2561
316,115959,train,2569
318,1902,train,2579
320,1600,train,2590
321,152583,train,2596
323,132375,train,2609
325,8412,train,2620
327,1934,train,2631
328,1942,train,2638
329,1949,train,2648
331,1953,train,2660
332,1958,train,2667
333,69794,train,2675
335,1975,train,2690
337,1980,train,2702
339,25423,train,2712
340,1988,train,2718
341,1996,train,2727
342,2010,train,2738
343,30118,train,2749
345,2021,train,2762
346,2033,train,2768
346,2041,train,2770
347,100938,train,2792
348,2050,train,2798
348,18782,train,2800
349,2069,train,2819
350,68601,train,2826
351,375,train,2832
353,2096,train,2848
353,2100,train,2850
353,2101,train,2852
354,2110,train,2872
355,2121,train,2883
356,2128,train,2893
357,2134,train,2904
359,7751,train,2919
361,2151,train,2932
362,2158,train,2938
364,15471,train,2953
364,2175,train,2955
366,2180,train,2971
367,2182,train,2978
369,152595,train,2991
370,2201,train,2998
372,2207,train,3012
374,137864,train,3023
376,2234,train,3034
376,2228,train,3036
377,2238,train,3054
379,2244,train,3064
380,2250,train,3072
381,2260,train,3080
383,2269,train,3097
384,112675,train,3107
385,2285,train,3114
387,137871,train,3128
388,2293,train,3134
389,41343,train,3145
390,2307,train,3151
391,542,train,3163
392,2324,train,3169
392,2333,train,3171
393,2342,train,3191
393,2357,train,3193
393,2359,train,3195
394,2365,train,3219
396,137874,train,3231
398,2381,train,3243
398,2391,train,3245
398,2394,train,3247
399,2407,train,3270
400,2410,train,3282
401,2419,train,3288
403,2435,train,3303
403,2429,train,3305
405,1447,train,3325
407,2450,train,3337
409,86067,train,3348
410,2462,train,3357
411,2469,train,3365
413,2474,train,3376
415,137884,train,3389
417,2489,train,3399
418,39123,train,3410
419,2501,train,3417
420,2513,train,3426
421,2518,train,3438
423,2523,train,3449
424,2529,train,3455
426,131741,train,3468
427,2540,train,3474
429,137887,train,3488
431,2561,train,3498
431,2564,train,3500
432,2569,train,3515
433,2574,train,3521
434,2584,train,3528
434,2592,train,3530
435,2601,train,3553
436,2613,train,3560
437,2616,train,3575
439,2624,train,3586
440,2632,train,3593
441,2635,train,3604
442,1849,train,3615
443,2651,train,3623
444,35618,train,3630
446,2661,train,3641
447,2668,train,3649
449,2676,train,3659
450,15810,train,3667
451,2688,train,3678
453,56193,train,3692
454,2701,train,3698
455,2705,train,3705
456,74060,train,3716
457,1848,train,3722
458,152622,train,3732
459,2730,train,3740
460,2741,train,3751
461,2749,train,3760
461,2746,train,3762
463,152625,train,3780
464,2762,train,3790
466,13951,train,3802
468,2776,train,3813
469,2779,train,3819
470,26736,train,3831
472,2795,train,3842
474,2801,train,3853
475,2808,train,3859
476,9552,train,3870
477,1172,train,3878
478,2826,train,3889
479,2831,train,3896
480,2840,train,3905
482,8233,train,3919
484,2856,train,3930
485,2864,train,3937
486,2868,train,3948
488,82099,train,3959
489,2884,train,3969
490,141078,train,3977
491,2899,train,3990
492,2901,train,3998
494,2907,train,4009
496,2922,train,4021
496,2915,train,4023
497,2927,train,4037
499,1447,train,4050
500,2958,train,4056
500,2965,train,4058
500,3001,train,4060
500,3006,train,4062
500,2972,train,4064
500,2937,train,4066
500,2956,train,4068
501,3008,train,4129
503,6168,train,4139
505,8487,train,4153
507,3028,train,4164
509,63591,train,4174
511,3042,train,4186
513,137914,train,4196
513,3051,train,4198
515,3062,train,4214
516,601,train,4222
518,3074,train,4234
519,3080,train,4240
521,113629,train,4254
522,3089,train,4260
523,1540,train,4268
524,3109,train,4280
525,42883,train,4290
526,3116,train,4296
527,3123,train,4303
528,3129,train,4314
530,3137,train,4325
531,109036,train,4335
533,727,train,4346
534,69534,train,4352
535,27603,train,4364
537,3175,train,4377
539,73011,train,4388
540,3189,train,4394
541,3195,train,4406
543,3202,train,4417
544,1172,train,4425
546,3219,train,4436
547,3228,train,4445
547,91,train,4447
549,3236,train,4466
550,3248,train,4474
550,3256,train,4476
550,3263,train,4478
550,3264,train,4480
551,3277,train,4513
553,1309,train,4526
554,35260,train,4533
556,6990,train,4546
558,3316,train,4557
558,830,train,4559
559,3320,train,4574
560,3329,train,4580
561,3331,train,4589
563,2874,train,4605
565,3346,train,4615
566,3354,train,4623
568,59375,train,4635
569,95829,train,4643
571,137932,train,4655
573,3380,train,4665
575,21312,train,4677
576,3393,train,4683
577,3396,train,4691
577,137936,train,4693
579,152665,train,4714
580,152666,train,4722
582,47444,train,4732
584,3430,train,4743
586,3438,train,4755
587,3441,train,4761
588,3452,train,4773
589,62718,train,4781
590,3468,train,4787
591,3474,train,4800
593,3495,train,4810
593,3482,train,4812
593,3489,train,4814
593,3506,train,4816
593,3493,train,4818
595,3520,train,4857
597,3527,train,4867
599,137943,train,4877
600,15984,train,4888
602,3546,train,4899
604,3550,train,4909
604,137945,train,4911
606,3565,train,4926
608,137947,train,4939
609,137948,train,4947
611,3584,train,4958
613,3593,train,4968
614,3608,train,4978
614,3679,train,4980
614,3660,train,4982
614,3686,train,4984
614,3661,train,4986
614,3633,train,4988
614,3648,train,4990
614,3622,train,4992
614,3630,train,4994
614,3658,train,4996
616,3700,train,5081
616,3697,train,5083
618,9491,train,5098
619,3714,train,5104
620,152677,train,5112
621,3726,train,5122
622,3733,train,5130
623,3748,train,5141
623,3743,train,5143
624,3753,train,5158
626,3760,train,5168
627,3767,train,5178
628,73410,train,5185
630,3788,train,5196
630,3782,train,5198
631,137956,train,5213
632,3794,train,5220
633,3803,train,5226
634,137958,train,5237
636,3817,train,5249
637,3819,train,5258
638,3825,train,5266
640,3831,train,5277
642,3849,train,5289
642,3844,train,5291
644,3856,train,5310
646,45582,train,5320
648,3879,train,5332
648,2038,train,5334
649,1480,train,5346
650,3889,train,5356
652,3893,train,5368
653,3900,train,5374
655,3904,train,5386
657,3913,train,5397
658,51943,train,5405
659,3925,train,5415
661,3935,train,5428
663,3940,train,5438
664,3946,train,5445
665,3957,train,5454
667,3965,train,5471
669,3971,train,5482
671,3976,train,5492
671,3988,train,5494
672,3993,train,5510
672,3997,train,5512
674,26014,train,5530
676,4016,train,5541
677,4019,train,5547
679,4031,train,5560
680,152698,train,5571
681,4044,train,5578
683,4050,train,5592
684,37240,train,5600
685,4055,train,5606
687,4063,train,5617
688,4068,train,5624
689,4073,train,5632
689,4071,train,5634
691,4094,train,5653
691,4087,train,5655
692,4107,train,5667
693,4108,train,5681
695,4116,train,5691
697,4120,train,5701
699,54239,train,5711
700,152704,train,5719
702,4140,train,5732
704,4146,train,5742
706,500,train,5752
708,4161,train,5766
710,152709,train,5780
711,4172,train,5786
712,4182,train,5795
714,152711,train,5809
716,4197,train,5820
718,4203,train,5831
719,9230,train,5837
721,4212,train,5849
722,4218,train,5855
724,152713,train,5869
726,23632,train,5880
727,4233,train,5886
728,137989,train,5898
730,4318,train,5909
731,4256,train,5915
732,4277,train,5923
732,4261,train,5925
733,4286,train,5944
733,152717,train,5946
735,4296,train,5963
736,4298,train,5971
738,4308,train,5982
739,15931,train,5989
741,4326,train,6001
741,2419,train,6003
741,4321,train,6005
741,4330,train,6007
743,4345,train,6038
745,137994,train,6050
746,152722,train,6061
747,4366,train,6067
749,4375,train,6079
750,4378,train,6086
750,4386,train,6088
751,4392,train,6101
752,4405,train,6112
753,4409,train,6123
754,4418,train,6130
756,54350,train,6145
757,4428,train,6153
759,4436,train,6164
760,4439,train,6171
761,4461,train,6179
761,138001,train,6181
762,4474,train,6202
762,4476,train,6204
762,4484,train,6206
764,138003,train,6229
766,4497,train,6243
767,152731,train,6249
769,5887,train,6261
771,4515,train,6273
773,3126,train,6285
775,24716,train,6298
777,54108,train,6309
778,4547,train,6315
779,40166,train,6329
781,138008,train,6340
782,71685,train,6348
784,4570,train,6360
786,4577,train,6371
786,4051,train,6373
786,4581,train,6375
788,4597,train,6398
789,4604,train,6409
790,4606,train,6415
792,1081,train,6427
793,4620,train,6434
793,4619,train,6436
795,138012,train,6451
795,4631,train,6453
795,4629,train,6455
797,4658,train,6482
798,4663,train,6489
800,4667,train,6501
802,4696,train,6512
802,4673,train,6514
802,4691,train,6516
803,4697,train,6540
805,4705,train,6551
806,4713,train,6557
807,1223,train,6568
807,4725,train,6570
808,2151,train,6585
810,4743,train,6599
810,4742,train,6601
811,4760,train,6612
811,1647,train,6614
812,4764,train,6635
813,4772,train,6644
815,4775,train,6654
816,152745,train,6662
817,4789,train,6668
818,4790,train,6679
819,4793,train,6685
821,2079,train,6700
822,4813,train,6707
823,1862,train,6719
825,4828,train,6729
826,4831,train,6737
828,1120,train,6747
829,4840,train,6754
831,152752,train,6767
832,3198,train,6776
834,4860,train,6786
836,4868,train,6799
838,32277,train,6812
840,4883,train,6824
842,32277,train,6834
844,4895,train,6844
846,4901,train,6854
847,7628,train,6862
848,4913,train,6869
849,138028,train,6878
850,4928,train,6886
851,4934,train,6899
852,2854,train,6905
854,1614,train,6917
856,35067,train,6927
858,4955,train,6937
859,111968,train,6946
860,6893,train,6955
861,4975,train,6965
862,152760,train,6973
863,4996,train,6981
863,152761,train,6983
865,8445,train,7003
866,5004,train,7009
868,5024,train,7024
868,9342,train,7026
870,138035,train,7045
871,5855,train,7052
873,5042,train,7062
875,5047,train,7072
877,138037,train,7083
878,4112,train,7092
879,3931,train,7099
880,138038,train,7112
882,5079,train,7124
884,4091,train,7134
885,5145,train,7140
885,5136,train,7142
885,5111,train,7144
885,5105,train,7146
885,5142,train,7148
885,5106,train,7150
885,5123,train,7152
887,5157,train,7212
887,5162,train,7214
889,5171,train,7233
889,152774,train,7235
891,14391,train,7252
893,5186,train,7264
893,108895,train,7266
895,3060,train,7281
897,5205,train,7294
898,5209,train,7301
899,5221,train,7312
900,500,train,7321
902,5236,train,7331
903,5238,train,7341
905,152777,train,7352
907,36682,train,7364
909,5262,train,7374
910,5474,train,7385
911,5279,train,7396
912,5280,train,7404
913,5301,train,7410
913,5296,train,7412
913,5289,train,7414
915,5310,train,7444
916,5317,train,7453
917,5322,train,7461
918,5327,train,7469
920,138056,train,7485
921,5338,train,7491
923,5351,train,7506
924,112,train,7512
925,5387,train,7520
925,5364,train,7522
925,5372,train,7524
925,5369,train,7526
926,5400,train,7561
927,5406,train,7571
928,5417,train,7582
928,5412,train,7584
928,536,train,7586
930,666,train,7611
932,5199,train,7624
933,5450,train,7633
934,138061,train,7641
936,5459,train,7653
937,152784,train,7659
939,5473,train,7672
941,5486,train,7685
941,5480,train,7687
942,5488,train,7698
944,5494,train,7710
946,5501,train,7721
947,5507,train,7728
949,5518,train,7745
951,5526,train,7757
953,5530,train,7768
955,5537,train,7780
957,5548,train,7792
957,5543,train,7794
958,5563,train,7808
960,1743,train,7823
961,5577,train,7832
962,5578,train,7840
964,5586,train,7851
966,5593,train,7861
967,5596,train,7868
969,1295,train,7882
971,5611,train,7893
972,54911,train,7899
973,6623,train,7912
974,5634,train,7919
975,5635,train,7932
975,5638,train,7934
976,9230,train,7949
978,4594,train,7960
979,5666,train,7971
981,5674,train,7984
982,5680,train,7993
982,5681,train,7995
984,5688,train,8011
986,2462,train,8022
986,985,train,8024
988,2742,train,8041
989,5712,train,8048
991,5716,train,8064
993,5734,train,8077
993,5732,train,8079
993,5742,train,8081
994,5750,train,8104
995,5756,train,8110
996,138076,train,8118
997,5765,train,8127
999,5774,train,8140
1000,5777,train,8148
1002,5783,train,8159
1003,5788,train,8167
1005,5512,train,8180
1006,5800,train,8189
1008,5807,train,8200
1008,5813,train,8202
1010,5825,train,8217
1011,5831,train,8228
1012,5833,train,8236
1014,5838,train,8247
1016,5847,train,8257
1018,2506,train,8268
1020,5861,train,8278
1021,445,train,8286
1023,5869,train,8297
1025,5875,train,8308
1027,5224,train,8318
1029,29242,train,8328
1031,5890,train,8338
1032,6012,train,8346
1034,5905,train,8357
1036,5916,train,8368
1036,5910,train,8370
1038,5926,train,8388
1040,5933,train,8401
1041,5947,train,8412
1041,7388,train,8414
1042,5960,train,8431
1043,55609,train,8441
1045,5974,train,8453
1046,152817,train,8463
1048,5987,train,8474
1049,5043,train,8482
1050,6000,train,8493
1051,368,train,8502
1053,6015,train,8514
1054,6019,train,8524
1056,3365,train,8535
1058,3138,train,8546
1060,6040,train,8557
1062,6049,train,8570
1063,5259,train,8579
1064,6060,train,8585
1066,6066,train,8598
1068,6081,train,8608
1068,6079,train,8610
1069,152827,train,8624
1069,6091,train,8626
1070,6101,train,8641
1072,6106,train,8653
1074,60005,train,8664
1075,6117,train,8672
1075,6121,train,8674
1076,6130,train,8689
1077,138110,train,8696
1079,6140,train,8708
1079,6141,train,8710
1081,6157,train,8727
1082,6162,train,8735
1083,6173,train,8743
1083,208,train,8745
1084,6180,train,8765
1086,6185,train,8777
1087,6191,train,8785
1089,6196,train,8795
1091,6204,train,8807
1092,6210,train,8816
1093,6217,train,8823
1094,6218,train,8831
1095,6229,train,8839
1096,647,train,8849
1097,6252,train,8855
1097,6250,train,8857
1097,6237,train,8859
1098,135726,train,8886
1100,6273,train,8897
1101,6278,train,8904
1102,6282,train,8911
1103,6284,train,8919
1104,6296,train,8930
1105,6299,train,8938
1106,6305,train,8944
1108,6317,train,8961
1109,6320,train,8969
1110,129302,train,8980
1111,6331,train,8987
1112,6348,train,8995
1112,116930,train,8997
1114,6356,train,9018
1116,6361,train,9030
1118,876,train,9044
1119,6376,train,9052
1121,6385,train,9065
1122,6390,train,9073
1123,6394,train,9080
1124,4599,train,9087
1125,4864,train,9093
1127,34688,train,9104
1128,6415,train,9110
1130,36975,train,9124
1132,53387,train,9135
1133,6432,train,9143
1134,31660,train,9154
1136,6440,train,9164
1137,138132,train,9170
1139,6454,train,9181
1139,6456,train,9183
1140,2466,train,9200
1141,6475,train,9208
1142,6479,train,9217
1144,6486,train,9228
1146,138136,train,9238
1147,2529,train,9246
1148,3996,train,9252
1150,1770,train,9264
1151,6507,train,9270
1152,6515,train,9278
1152,6529,train,9280
1153,1907,train,9301
1154,6540,train,9307
1156,6549,train,9324
1157,583,train,9331
1158,6556,train,9339
1159,6564,train,9348
1160,6576,train,9357
1160,6590,train,9359
1161,6594,train,9380
1163,6600,train,9393
1164,6625,train,9400
1164,6611,train,9402
1164,6605,train,9404
1166,6631,train,9435
1168,6637,train,9447
1169,802,train,9455
1171,75279,train,9469
1173,11173,train,9479
1174,6659,train,9485
1175,6674,train,9500
1177,6684,train,9513
1179,6459,train,9525
1180,1141,train,9533
1181,101464,train,9540
1183,6708,train,9552
1184,90578,train,9560
1186,6032,train,9571
1186,6719,train,9573
1187,10017,train,9587
1189,6738,train,9604
1191,6918,train,9616
1193,4465,train,9627
1194,6753,train,9635
1195,542,train,9643
1197,6770,train,9654
1197,5326,train,9656
1198,6772,train,9668
1199,6780,train,9676
1201,122245,train,9689
1203,5327,train,9701
1204,6804,train,9707
1205,6808,train,9719
1207,2569,train,9730
1208,24567,train,9737
1208,6844,train,9739
1208,6841,train,9741
1208,6829,train,9743
1209,6854,train,9778
1210,6856,train,9785
1212,6863,train,9797
1214,152871,train,9808
1216,152873,train,9819
1218,6884,train,9830
1219,6888,train,9838
1220,6910,train,9846
1220,6739,train,9848
1220,134322,train,9850
1221,2267,train,9873
1223,6916,train,9883
1224,6923,train,9889
1225,6924,train,9897
1226,79337,train,9910
1228,6944,train,9922
1229,6948,train,9930
1229,5370,train,9932
1229,503,train,9934
1230,6972,train,9957
1231,143328,train,9967
1233,152879,train,9978
1235,4290,train,9989
1237,138160,train,10000
1237,3897,train,10002
1239,7011,train,10017
1240,4567,train,10027
1242,152880,train,10038
1243,7026,train,10047
1244,4069,train,10055
1244,7032,train,10057
1244,7047,train,10059
1246,7054,train,10084
1248,5060,train,10095
1249,138166,train,10102
1251,7071,train,10116
1253,42375,train,10127
1254,7085,train,10135
1255,1944,train,10146
1257,7101,train,10158
1258,7106,train,10168
1259,7109,train,10174
1260,7122,train,10188
1261,7126,train,10194
1263,7135,train,10206
1265,7142,train,10218
1267,7859,train,10232
1269,7158,train,10243
1270,7165,train,10251
1270,7168,train,10253
1270,7169,train,10255
1272,7091,train,10281
1273,7195,train,10290
1275,19493,train,10301
1276,7208,train,10311
1277,152890,train,10320
1279,7223,train,10332
1281,7229,train,10342
1283,7237,train,10353
1284,7238,train,10362
1285,7247,train,10370
1286,23191,train,10381
1288,7258,train,10391
1289,5196,train,10399
1291,7264,train,10411
1291,152896,train,10413
1292,7280,train,10429
1292,3016,train,10431
1293,7289,train,10442
1295,7297,train,10455
1297,6877,train,10466
1299,7311,train,10479
1300,7316,train,10488
1301,3460,train,10495
1302,7326,train,10501
1303,7335,train,10515
1305,7343,train,10527
1307,7348,train,10539
1309,7355,train,10549
1310,7362,train,10558
1312,7366,train,10571
1313,1959,train,10579
1314,7373,train,10586
1315,39663,train,10592
1316,7385,train,10600
1317,7395,train,10612
1317,25956,train,10614
1318,7402,train,10625
1319,152906,train,10636
1321,138188,train,10650
1323,7431,train,10661
1323,7425,train,10663
1325,7438,train,10679
1327,7446,train,10691
1328,5706,train,10699
1330,20620,train,10710
1332,138191,train,10722
1334,7290,train,10732
1336,7497,train,10746
1336,7489,train,10748
1336,7488,train,10750
1338,7507,train,10779
1340,7514,train,10791
1340,7521,train,10793
1341,7537,train,10805
1341,7545,train,10807
1341,7540,train,10809
1343,2466,train,10838
1344,7556,train,10844
1346,7563,train,10859
1348,7569,train,10871
1350,7575,train,10883
1352,9871,train,10893
1353,7585,train,10901
1354,152917,train,10909
1356,20616,train,10922
1358,80134,train,10932
1360,7610,train,10944
1362,7620,train,10956
1363,9127,train,10964
1364,7635,train,10970
1364,7641,train,10972
1364,7646,train,10974
1366,1917,train,11005
1367,35122,train,11014
1369,36930,train,11025
1371,7667,train,11035
1373,4703,train,11047
1374,138205,train,11055
1376,7688,train,11067
1377,7695,train,11076
1377,7696,train,11078
1379,58891,train,11095
1381,63874,train,11106
1383,7718,train,11117
1385,13383,train,11129
1386,152922,train,11135
1387,7743,train,11145
1387,7736,train,11147
1388,1944,train,11162
1390,7752,train,11174
1391,7758,train,11181
1391,7763,train,11183
1392,7776,train,11199
1393,7781,train,11211
1395,7790,train,11222
1396,1956,train,11229
1398,11393,train,11243
1400,7806,train,11254
1402,7811,train,11266
1404,5789,train,11278
1406,7827,train,11288
1407,7831,train,11295
1408,761,train,11306
1409,7848,train,11319
1411,99324,train,11332
1412,25061,train,11338
1414,27308,train,11353
1416,7876,train,11363
1417,2410,train,11369
1418,7882,train,11378
1420,7893,train,11392
1422,7903,train,11406
1423,7905,train,11412
1425,7914,train,11424
1426,7919,train,11432
1427,7922,train,11438
1429,3417,train,11453
1430,7938,train,11463
1432,7948,train,11475
1433,7953,train,11482
1434,7960,train,11493
1436,7966,train,11505
1437,7970,train,11512
1439,4717,train,11525
1441,138230,train,11537
1443,152942,train,11549
1445,7992,train,11559
1446,138232,train,11569
1447,8009,train,11580
1448,2451,train,11589
1449,8019,train,11598
1450,29113,train,11606
1451,8029,train,11613
1452,152945,train,11628
1453,8046,train,11637
1455,8055,train,11647
1455,8051,train,11649
1455,8057,train,11651
1457,8077,train,11678
1459,8082,train,11688
1461,8090,train,11698
1461,8092,train,11700
1463,8107,train,11716
1464,15803,train,11725
1465,8113,train,11734
1466,8118,train,11742
1468,8124,train,11753
1470,8133,train,11766
1472,138243,train,11776
1473,8143,train,11782
1475,64115,train,11797
1477,8160,train,11808
1478,8168,train,11819
1478,8174,train,11821
1480,8188,train,11840
1481,563,train,11848
1482,8193,train,11856
1483,8203,train,11865
1484,8207,train,11874
1486,138246,train,11885
1487,8216,train,11891
1488,8227,train,11901
1489,8235,train,11912
1491,1490,train,11924
1491,4105,train,11926
1493,8248,train,11941
1495,8255,train,11953
1497,64321,train,11963
1499,152960,train,11976
1501,8279,train,11988
1502,11263,train,11996
1504,8289,train,12006
1504,8288,train,12008
1505,8298,train,12022
1507,8308,train,12039
1509,8312,train,12049
1510,120176,train,12056
1511,8324,train,12065
1512,8328,train,12073
1512,8329,train,12075
1513,8346,train,12094
1514,8356,train,12101
1515,19671,train,12112
1517,8365,train,12123
1518,8369,train,12130
1519,2691,train,12139
1521,2402,train,12152
1523,138260,train,12162
1525,8391,train,12175
1526,8396,train,12182
1528,8407,train,12195
1529,5400,train,12206
1531,8418,train,12218
1532,8422,train,12226
1533,3760,train,12234
1534,8433,train,12242
1535,36746,train,12254
1536,8447,train,12261
1538,109526,train,12273
1540,8459,train,12283
1541,8463,train,12289
1541,152975,train,12291
1543,8481,train,12313
1544,8484,train,12322
1546,85719,train,12333
1548,8183,train,12344
1549,3639,train,12351
1549,138269,train,12353
1551,4249,train,12373
1552,8512,train,12379
1554,7017,train,12391
1556,46157,train,12403
1556,8537,train,12405
1558,5633,train,12425
1559,8541,train,12431
1561,14923,train,12445
1563,8557,train,12456
1564,8562,train,12463
1566,8566,train,12478
1568,8573,train,12490
1570,8580,train,12503
1572,138275,train,12515
1574,8597,train,12527
1574,8595,train,12529
1576,36231,train,12548
1577,8613,train,12555
1579,38923,train,12567
1581,19227,train,12579
1582,8630,train,12585
1584,8647,train,12597
1584,8644,train,12599
1585,8653,train,12614
1586,8659,train,12622
1587,106688,train,12630
1589,3475,train,12643
1591,8678,train,12655
1592,8697,train,12662
1592,8714,train,12664
1592,8693,train,12666
1592,8701,train,12668
1592,8682,train,12670
1594,8722,train,12713
1596,8731,train,12723
1597,8735,train,12732
1599,8740,train,12742
1600,8761,train,12753
1600,8753,train,12755
1601,1376,train,12770
1602,8765,train,12776
1604,8777,train,12792
1604,8780,train,12794
1605,8792,train,12812
1606,63763,train,12822
1608,8816,train,12834
1608,8807,train,12836
1609,8821,train,12854
1610,8831,train,12864
1611,8838,train,12873
1611,55302,train,12875
1612,25419,train,12886
1614,133631,train,12902
1616,8859,train,12913
1617,138287,train,12922
1618,8874,train,12929
1619,8876,train,12940
1620,8882,train,12947
1621,8890,train,12953
1623,20703,train,12968
1625,8897,train,12978
1627,8903,train,12988
1629,8910,train,13000
1631,138292,train,13013
1631,8918,train,13015
1632,8925,train,13027
1633,8929,train,13035
1634,8938,train,13046
1636,138294,train,13058
1638,8947,train,13068
1640,8958,train,13079
1641,8961,train,13089
1643,8971,train,13101
1644,8974,train,13111
1645,138298,train,13118
1646,87617,train,13126
1648,8993,train,13140
1649,8998,train,13150
1650,128523,train,13158
1651,9009,train,13164
1651,9016,train,13166
1652,40295,train,13187
1653,1588,train,13197
1655,15311,train,13208
1656,9048,train,13218
1656,9052,train,13220
1657,9054,train,13233
1659,9062,train,13246
1661,75043,train,13258
1663,9072,train,13269
1665,9078,train,13280
1667,9084,train,13291
1669,11646,train,13301
1670,9095,train,13310
1672,9101,train,13320
1674,9105,train,13331
1674,9110,train,13333
1675,9115,train,13349
1677,9121,train,13361
1679,153010,train,13372
1680,4381,train,13381
1682,1295,train,13393
1684,138309,train,13404
1685,138310,train,13414
1685,9157,train,13416
1686,9159,train,13429
1688,5472,train,13442
1689,7917,train,13448
1689,9173,train,13450
1690,138312,train,13471
1692,8198,train,13483
1693,9195,train,13491
1695,9204,train,13504
1697,9212,train,13516
1698,9216,train,13523
1700,138317,train,13536
1702,511,train,13547
